SpecimenID,Species,SamplingCategory,YearSampled,State,SiteInfo,lat,lon,Sp,Species_samplingcategory
945,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
946,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
B8601,Prairie Warbler,historic,1891,Massachusetts,Melrose,42.457,-71.057,PRAW,PRAW_historic
BW1910,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1911,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1912,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1913,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1914,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1915,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1916,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
BW1918,Black-throated Blue Warbler,contemporary,2001,New York,?,41.991,-74.32,BTBW,BTBW_contemporary
bwnc002,Black-throated Blue Warbler,contemporary,2002,North Carolina,Coweeta Experimental Forest,35.061,-83.451,BTBW,BTBW_contemporary
bwnc004,Black-throated Blue Warbler,contemporary,2002,North Carolina,Coweeta Experimental Forest,35.061,-83.451,BTBW,BTBW_contemporary
bwnc14,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc16,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc17,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc25,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc28,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc30,Black-throated Blue Warbler,contemporary,2002,North Carolina,?,35.061,-83.451,BTBW,BTBW_contemporary
bwnc31,Black-throated Blue Warbler,contemporary,2002,North Carolina,Coweeta Experimental Forest,35.061,-83.451,BTBW,BTBW_contemporary
